time,open,high,low,close
1738540800.0,0.49370000,0.49380000,0.48510000,0.48520000
1738541700.0,0.48520000,0.48540000,0.47310000,0.47890000
1738542600.0,0.47880000,0.48000000,0.45450000,0.45780000
1738543500.0,0.45790000,0.47400000,0.45750000,0.47020000
1738544400.0,0.47030000,0.47530000,0.46690000,0.46900000
1738545300.0,0.46890000,0.46950000,0.46010000,0.46120000
1738546200.0,0.46130000,0.46450000,0.45220000,0.45530000
1738547100.0,0.45540000,0.45570000,0.37910000,0.40300000
1738548000.0,0.40330000,0.40850000,0.34530000,0.39580000
1738548900.0,0.39590000,0.40170000,0.39010000,0.39270000
1738549800.0,0.39260000,0.39830000,0.38810000,0.39150000
1738550700.0,0.39160000,0.39260000,0.37720000,0.38400000
1738551600.0,0.38410000,0.40110000,0.38340000,0.39740000
1738552500.0,0.39750000,0.40900000,0.39710000,0.40130000
1738553400.0,0.40130000,0.40230000,0.39680000,0.39980000
1738554300.0,0.39980000,0.41050000,0.39910000,0.40460000
1738555200.0,0.40470000,0.41300000,0.40310000,0.40430000
1738556100.0,0.40420000,0.40450000,0.39670000,0.39760000
1738557000.0,0.39750000,0.39960000,0.39370000,0.39560000
1738557900.0,0.39570000,0.39970000,0.39210000,0.39260000
1738558800.0,0.39270000,0.39910000,0.39250000,0.39510000
1738559700.0,0.39510000,0.40960000,0.39470000,0.40750000
1738560600.0,0.40730000,0.41030000,0.40510000,0.40880000
1738561500.0,0.40880000,0.41870000,0.40770000,0.41780000
1738562400.0,0.41780000,0.42080000,0.41020000,0.41970000
1738563300.0,0.41980000,0.42950000,0.41770000,0.42790000
1738564200.0,0.42780000,0.42870000,0.42200000,0.42360000
1738565100.0,0.42360000,0.43030000,0.42350000,0.42780000
1738566000.0,0.42770000,0.43210000,0.42560000,0.42930000
1738566900.0,0.42920000,0.43510000,0.42890000,0.43330000
1738567800.0,0.43330000,0.44150000,0.43020000,0.43760000
1738568700.0,0.43750000,0.44190000,0.43590000,0.44040000
1738569600.0,0.44040000,0.44040000,0.43120000,0.43430000
1738570500.0,0.43440000,0.43530000,0.42580000,0.42690000
1738571400.0,0.42690000,0.42690000,0.42070000,0.42230000
1738572300.0,0.42220000,0.43020000,0.42210000,0.43020000
1738573200.0,0.42990000,0.44310000,0.42850000,0.44190000
1738574100.0,0.44180000,0.44190000,0.43360000,0.43580000
1738575000.0,0.43570000,0.43820000,0.43170000,0.43350000
1738575900.0,0.43340000,0.43450000,0.42850000,0.42910000
1738576800.0,0.42930000,0.43290000,0.42920000,0.43170000
1738577700.0,0.43170000,0.43610000,0.42730000,0.43570000
1738578600.0,0.43570000,0.44340000,0.43500000,0.43820000
1738579500.0,0.43830000,0.44190000,0.43780000,0.44100000
1738580400.0,0.44110000,0.44250000,0.43810000,0.44020000
1738581300.0,0.44000000,0.44160000,0.43630000,0.43890000
1738582200.0,0.43890000,0.43890000,0.43290000,0.43420000
1738583100.0,0.43430000,0.43610000,0.43240000,0.43540000
1738584000.0,0.43540000,0.44210000,0.43510000,0.43950000
1738584900.0,0.43940000,0.44590000,0.43860000,0.44180000
1738585800.0,0.44190000,0.44380000,0.43920000,0.43930000
1738586700.0,0.43930000,0.43950000,0.43390000,0.43540000
1738587600.0,0.43550000,0.44040000,0.43390000,0.43390000
1738588500.0,0.43400000,0.43710000,0.42850000,0.42860000
